MODEL COMPARISON SUMMARY
================================================================================
Model Name                               	PSNR (dB)  SSIM       MSE        Time (s)  
--------------------------------------------------------------------------------
4x_PixelPerfectV4_137000_G               	22.9508    0.8207     0.0094     11.70     
003_realSR_BSRGAN_DFOWMFC_s64w8_SwinIR-L_x4_GAN 22.3241    0.7923     0.0074     23.97     
4x-UltraSharp                            	22.1407    0.7695     0.0099     12.96     
BSRGAN                                   	22.0052    0.7708     0.0084     11.68     
003_realSR_BSRGAN_DFO_s64w8_SwinIR-M_x4_GAN 	21.8844    0.7674     0.0086     12.51     
4x-UniScaleV2_Soft                       	21.6236    0.7785     0.0092     12.06     
4x-UniScaleV2_Moderate                   	20.6256    0.7395     0.0138     12.57     
4x_UniversalUpscalerV2-Neutral_115000_swaG 2	0.5665    0.7199     0.0174     11.44     
RealESRGAN_x4plus_anime_6B               	20.4105    0.7020     0.0110     3.64      
4x-UniScaleV2_Sharp                      	20.3351    0.6988     0.0117     12.89     
4x-Compact-Pretrain                      	20.2993    0.7297     0.0175     0.57      
RRDB_PSNR_x4                             	20.2752    0.7482     0.0117     11.60     
002_lightweightSR_DIV2K_s64w8_SwinIR-S_x4 	20.1881    0.7380     0.0121     3.25      
001_classicalSR_DIV2K_s48w8_SwinIR-M_x4  	20.1476    0.7401     0.0122     10.12     
001_classicalSR_DF2K_s64w8_SwinIR-M_x4   	20.0828    0.7460     0.0128     10.71     
DF2K_JPEG                                	19.2883    0.6152     0.0214     11.51     
4x-Struzan                               	18.6426    0.6111     0.0226     12.71     
4x_foolhardy_Remacri_ExtraSmoother       	18.3386    0.6707     0.0219     11.62     
deviantPixelHD_250000                    	17.9549    0.6648     0.0359     11.91     
4x-SwinIR-M_Pretrain                     	17.7791    0.6966     0.0577     12.47     
4xSmoothRealism                          	16.6229    0.6367     0.0508     11.70     
RRDB_ESRGAN_x4                           	16.3167    0.5546     0.0265     11.89     
4x-ESRGAN_64nf_23nb-misc-vyls            	16.2972    0.6354     0.0487     12.89     
4x_BS_DevianceMIP_82000_G                	14.7184    0.6315     0.0878     12.21     
realesrgan-x4minus                       	14.0291    0.6511     0.0807     11.63     
4x_UltraFArt_v3_Smooth                   	12.0721    0.6362     0.1671     20.59     
4x_UltraFArt_v3                          	11.7192    0.5776     0.1874     20.94     
4x_foolhardy_Remacri                     	10.4940    0.5935     0.2088     12.27   
